Timestamp (seconds),Distance (mm),Button Pressed
1739139104.538,0,False
1739139104.840,0,False
1739139105.143,0,False
1739139105.445,0,False
1739139105.748,0,False
1739139106.050,0,False
1739139106.352,0,False
1739139106.655,0,False
1739139106.957,0,False
1739139107.259,0,False
1739139107.562,0,False
1739139107.864,0,False
1739139108.167,0,False
1739139108.469,0,False
1739139108.771,0,False
1739139109.074,0,False
1739139109.376,0,False
1739139109.678,0,False
1739139109.981,0,False
1739139110.283,0,False
1739139110.585,0,False
1739139110.888,0,False
1739139111.190,0,False
1739139111.492,0,False
1739139111.795,0,False
1739139112.097,0,False
1739139112.399,0,False
1739139112.702,0,False
1739139113.004,0,False
1739139113.306,0,False
1739139113.608,0,False
1739139113.911,0,False
1739139114.213,0,False
1739139114.515,0,False
1739139114.818,0,False
1739139115.120,0,False
1739139115.422,0,False
1739139115.725,0,False
1739139116.027,0,False
1739139116.329,0,False
1739139116.632,0,False
1739139116.934,0,False
1739139117.236,0,False
1739139117.539,0,False
1739139117.841,0,False
1739139118.143,0,False
1739139118.445,0,False
1739139118.748,0,False
1739139119.050,0,False
1739139119.352,0,False
1739139119.654,0,False
1739139119.957,0,False
1739139120.259,0,False
1739139120.561,0,False
1739139120.863,0,False
1739139121.166,0,False
1739139121.468,0,False
1739139121.770,0,False
1739139122.072,0,False
1739139122.375,0,False
1739139122.677,0,False
1739139122.979,0,False
1739139123.281,0,False
1739139123.584,0,False
1739139123.886,0,False
1739139124.188,0,False
1739139124.490,0,False
1739139124.792,0,False
1739139125.094,0,True
1739139125.396,0,True
1739139125.698,0,True
1739139126.000,0,True
1739139126.303,0,False
1739139126.605,0,False
1739139126.907,0,False
1739139127.209,0,False
1739139127.511,0,False
1739139127.813,0,False
1739139128.115,0,False
1739139128.418,0,False
1739139128.720,0,False
1739139129.022,0,False
1739139129.324,0,False
1739139129.626,0,False
1739139129.928,0,False
1739139130.230,0,False
1739139130.532,0,False
1739139130.834,0,True
1739139131.136,0,True
1739139131.439,0,True
1739139131.741,0,True
1739139132.043,0,True
1739139132.345,3745,True
1739139132.647,3265,True
1739139132.950,2602,True
1739139133.252,2172,True
1739139133.554,1779,True
1739139133.856,1687,True
1739139134.158,1193,False
1739139134.460,0,False
1739139134.763,0,False
1739139135.065,0,False
1739139135.367,1006,False
1739139135.669,1281,False
1739139135.972,1197,False
1739139136.274,0,False
1739139136.576,0,False
1739139136.879,0,False
1739139137.181,0,False
